Timestamp,Age,Gender,City,Position ,Total years of experience,Years of experience in Germany,Seniority level,Technical language,Other Technical language, Yearly brutto salary   ,  Bonus+Stocks , Annual brutto salary one year ago(Only answer if staying in the same country) ,  Bonus+Stocks one year ago(Only answer if staying in same country) ,Vacation Days,Employment status,Contract duration,Main language ,Company size,Company type,Lost Job
26/11/2020 00:16:00,32,Male,Berlin,Frontend Developer,13,2,Senior,JavaScript,"PHP, Javascript / Typescript","€ 70,000.00","€ 1,000.00","€ 65,000.00","€ 1,000.00",25,Full-time employee,Unlimited contract,English,11-50,Product,No
26/11/2020 04:00:49,33,Male,Dusseldorf,Data Scientist,2,2,Lead,Spark,"Python, Docker","€ 70,000.00","€ 6,000.00","€ 60,000.00","€ 66,000.00",25,Full-time employee,Unlimited contract,English,1000+,Product,No
26/11/2020 05:53:19,22,Diverse,Cologne,QA Engineer,1,1,Head,Cobol,Perl,"€ 159,000.00","€ 35,000.00","€ 98,000.00","€ 23,000.00",45,Full-time employee,Unlimited contract,German,1000+,Product,No
26/11/2020 06:01:22,43,Male,Berlin,Engineering Manager,20,20,Lead,Java,"C/C++, .NET, Java / Scala, AWS, Kubernetes, Docker","€ 105,000.00", € -   ,"€ 105,000.00", € -   ,30,Full-time employee,Unlimited contract,English,1000+,Product,No
26/11/2020 07:14:19,35,Female,Frankfurt,Software Engineer,1,1,Junior,ABAP,"SQL, SAP / ABAP","€ 50,000.00", € -   ,"€ 50,000.00", € -   ,30,Full-time employee,Unlimited contract,German,51-100,Consulting / Agency,No
26/11/2020 08:39:28,36,Male,Berlin,Backend Developer,4,1,Middle,Java,"Python, SQL, Kubernetes, Docker","€ 55,000.00", € -   ,"€ 55,000.00", € -   ,28,Full-time employee,Unlimited contract,English,101-1000,Product,No
26/11/2020 08:40:22,38,Male,Berlin,Backend Developer,5,1,Middle,Java,"Kotlin, Java / Scala, Google Cloud, Kubernetes, Docker","€ 66,000.00", € -   ,"€ 60,000.00","€ 60,000.00",28,Full-time employee,Unlimited contract,English,101-1000,Product,No
26/11/2020 08:42:09,30,Male,Berlin,Frontend Developer,6,1,Senior,Javascript,"Python, Javascript / Typescript, SQL, SAP / ABAP","€ 79,000.00","€ 10,000.00","€ 77,000.00", € -   ,27,Full-time employee,Unlimited contract,English,1000+,Product,No
26/11/2020 09:02:41,30,Male,Berlin,Backend Developer,8,2,Middle,Python,"SQL, AWS, Kubernetes, Docker","€ 74,000.00","€ 11,000.00","€ 72,000.00","€ 5,000.00",27,Full-time employee,Unlimited contract,English,1000+,Product,No
26/11/2020 09:38:35,35,Male,Berlin,Software Engineer,13,5,Lead,TypeScript,"Python, Javascript / Typescript, SQL, AWS, Google Cloud, Kubernetes, Docker, Elixir","€ 103,000.00","€ 200,000.00","€ 92,000.00","€ 25,000.00",29,Full-time employee,Unlimited contract,English,101-1000,Startup,No
